,,,,Marketwise Price & Arrival Report (04-08-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 04 Aug, 2026","Price on 03 Aug, 2026","Price on 02 Aug, 2026","Arrival on 04 Aug, 2026","Arrival on 03 Aug, 2026","Arrival on 02 Aug, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3557.94,3454.36,2812.00,119.60,83.50,5.00
Cereals,Jowar(Sorghum),3699.00,6000.41,5349.54,5300.00,99.20,138.30,5.00
Cereals,Maize,2400.00,2814.54,2716.25,2450.00,26.30,86.50,1.20
Cereals,Paddy(Common),2369.00,3470.93,3439.56,3139.62,356.30,429.20,151.10
Cereals,Ragi(Finger Millet),4886.00,5500.00,5600.00,-,0.30,0.20,-
Cereals,Wheat,2585.00,3191.90,2981.25,2898.76,1758.30,1700.00,155.90
Oil Seeds,Groundnut,7263.00,7677.01,7519.31,-,252.80,113.80,-
Oil Seeds,Mustard,6200.00,7245.08,6884.10,-,7.10,41.20,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,12451.24,13013.27,14000.00,10.10,25.50,0.30
Oil Seeds,Soyabean,5328.00,6963.86,6865.59,6924.34,1197.60,1690.10,50.30
Pulses,Bengal Gram(Gram)(Whole),5875.00,6237.72,6180.03,6018.89,894.70,1047.90,18.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8926.32,9876.40,12000.00,1.90,16.10,0.30
Pulses,Green Gram(Moong)(Whole),8768.00,10980.02,11055.77,-,56.80,156.00,-
Pulses,Lentil(Masur)(Whole),7000.00,7737.18,7737.33,-,39.40,37.50,-
Pulses,Red gram/Arhar/Tur(whole),8000.00,8082.94,8061.43,-,325.60,163.10,-

