date,next_date,crop,district,apmc,modal_price_kg,min_price_kg,max_price_kg,spread,arrival_mt,lag_1_modal,lag_2_modal,rolling_3_modal,momentum,arrival_shock,month_sin,month_cos,target_next_modal_kg
2014-09,2014-11,Bajra,Ahmadnagar,Ahmednagar,15.75,14.0,17.5,0.2222,2.4,15.75,15.75,15.75,0.0,1.0,-1.0,-0.0,16.29
2014-09,2014-10,Bajra,Solapur,Akluj,15.64,15.17,15.64,0.0301,0.9,15.64,15.64,15.64,0.0,1.0,-1.0,-0.0,16.38
2014-09,2014-10,Bajra,Ahmadnagar,Akole,16.5,14.67,17.33,0.1612,2.5,16.5,16.5,16.5,0.0,1.0,-1.0,-0.0,15.6
2014-09,2014-10,Bajra,Jalgaon,Amalner,12.37,11.77,12.97,0.097,37.2,12.37,12.37,12.37,0.0,1.0,-1.0,-0.0,11.84
2014-09,2014-10,Bajra,Beed,Ambejogai,13.0,13.0,13.0,0.0,0.2,13.0,13.0,13.0,0.0,1.0,-1.0,-0.0,15.46
2014-09,2014-10,Bajra,Sangli,Atpadi,16.0,15.0,17.0,0.125,1.6,16.0,16.0,16.0,0.0,1.0,-1.0,-0.0,17.0
2014-09,2014-10,Bajra,Pune,Baramati,16.01,14.5,17.75,0.203,9.9,16.01,16.01,16.01,0.0,1.0,-1.0,-0.0,16.26
2014-09,2014-10,Bajra,Solapur,Barshi,15.0,13.0,16.0,0.2,0.7,15.0,15.0,15.0,0.0,1.0,-1.0,-0.0,16.11
2014-09,2014-10,Bajra,Beed,Beed,14.08,12.85,15.17,0.1648,132.8,14.08,14.08,14.08,0.0,1.0,-1.0,-0.0,15.98
2014-09,2015-12,Bajra,Nanded,Bhokar,14.78,12.61,16.35,0.253,2.2,14.78,14.78,14.78,0.0,1.0,-1.0,-0.0,14.0
2014-09,2014-10,Bajra,Jalgaon,Chalisgaon,13.08,12.24,13.79,0.1185,275.9,13.08,13.08,13.08,0.0,1.0,-1.0,-0.0,12.83
2014-09,2014-10,Bajra,Jalgaon,Chopda,13.4,12.3,13.53,0.0918,42.0,13.4,13.4,13.4,0.0,1.0,-1.0,-0.0,12.86
2014-09,2014-10,Bajra,Nasik,Devala,14.53,13.04,15.55,0.1727,64.8,14.53,14.53,14.53,0.0,1.0,-1.0,-0.0,13.76
2014-09,2014-10,Bajra,Dhule,Dhule,13.18,10.55,14.16,0.2739,453.0,13.18,13.18,13.18,0.0,1.0,-1.0,-0.0,13.79
2014-09,2014-10,Bajra,Dhule,Dondaicha,13.16,11.73,13.62,0.1436,41.1,13.16,13.16,13.16,0.0,1.0,-1.0,-0.0,13.82
2014-09,2014-10,Bajra,Solapur,Dudhani,11.06,10.68,11.15,0.0425,4.8,11.06,11.06,11.06,0.0,1.0,-1.0,-0.0,13.75
2014-09,2014-10,Bajra,Aurangabad,Gangapur,13.42,12.85,14.19,0.0999,49.1,13.42,13.42,13.42,0.0,1.0,-1.0,-0.0,13.35
2014-09,2014-10,Bajra,Beed,Gevrai,13.03,12.28,14.47,0.1681,177.8,13.03,13.03,13.03,0.0,1.0,-1.0,-0.0,13.36
2014-09,2014-10,Bajra,Jalgaon,Jalgaon,14.06,14.0,14.48,0.0341,42.1,14.06,14.06,14.06,0.0,1.0,-1.0,-0.0,13.5
2014-09,2014-10,Bajra,Jalna,Jalna,12.88,11.34,14.88,0.2748,665.4,12.88,12.88,12.88,0.0,1.0,-1.0,-0.0,14.15
2014-09,2014-10,Bajra,Ahmadnagar,Jamkhed,14.0,13.02,14.98,0.14,41.0,14.0,14.0,14.0,0.0,1.0,-1.0,-0.0,14.16
2014-09,2014-10,Bajra,Beed,Kada,13.36,12.78,15.12,0.1751,82.1,13.36,13.36,13.36,0.0,1.0,-1.0,-0.0,14.58
