date,crop,district,apmc,modal_price_kg,min_price_kg,max_price_kg,arrival_mt,year,month_name
2014-09,Bajra,Ahmadnagar,Ahmednagar,15.75,14.0,17.5,2.4,2014,September
2014-09,Bajra,Solapur,Akluj,15.64,15.17,15.64,0.9,2014,September
2014-09,Bajra,Ahmadnagar,Akole,16.5,14.67,17.33,2.5,2014,September
2014-09,Bajra,Jalgaon,Amalner,12.37,11.77,12.97,37.2,2014,September
2014-09,Bajra,Beed,Ambejogai,13.0,13.0,13.0,0.2,2014,September
2014-09,Bajra,Sangli,Atpadi,16.0,15.0,17.0,1.6,2014,September
2014-09,Bajra,Pune,Baramati,16.01,14.5,17.75,9.9,2014,September
2014-09,Bajra,Solapur,Barshi,15.0,13.0,16.0,0.7,2014,September
2014-09,Bajra,Beed,Beed,14.08,12.85,15.17,132.8,2014,September
2014-09,Bajra,Nanded,Bhokar,14.78,12.61,16.35,2.2,2014,September
2014-09,Bajra,Jalgaon,Chalisgaon,13.08,12.24,13.79,275.9,2014,September
2014-09,Bajra,Jalgaon,Chopda,13.4,12.3,13.53,42.0,2014,September
2014-09,Bajra,Nasik,Devala,14.53,13.04,15.55,64.8,2014,September
2014-09,Bajra,Dhule,Dhule,13.18,10.55,14.16,453.0,2014,September
2014-09,Bajra,Dhule,Dondaicha,13.16,11.73,13.62,41.1,2014,September
2014-09,Bajra,Solapur,Dudhani,11.06,10.68,11.15,4.8,2014,September
2014-09,Bajra,Aurangabad,Gangapur,13.42,12.85,14.19,49.1,2014,September
2014-09,Bajra,Beed,Gevrai,13.03,12.28,14.47,177.8,2014,September
2014-09,Bajra,Jalgaon,Jalgaon,14.06,14.0,14.48,42.1,2014,September
2014-09,Bajra,Jalna,Jalna,12.88,11.34,14.88,665.4,2014,September
2014-09,Bajra,Ahmadnagar,Jamkhed,14.0,13.02,14.98,41.0,2014,September
2014-09,Bajra,Beed,Kada,13.36,12.78,15.12,82.1,2014,September
2014-09,Bajra,Beed,Kada (Ashti),12.55,12.5,13.65,0.6,2014,September
2014-09,Bajra,Osmanabad,Kalamb (Os),12.38,11.61,12.65,4.6,2014,September
2014-09,Bajra,Aurangabad,Kannad,13.07,12.45,13.95,77.1,2014,September
2014-09,Bajra,Beed,Kej,13.59,13.42,14.92,3.5,2014,September
2014-09,Bajra,Buldhana,Khamgaon,12.0,12.0,12.0,0.6,2014,September
2014-09,Bajra,Beed,Kille Dharur,15.16,13.89,16.87,12.1,2014,September
2014-09,Bajra,Kolhapur,Kolhapur-Laxmipuri,16.83,16.2,17.53,12.6,2014,September
2014-09,Bajra,Ahmadnagar,Kopargaon,13.83,12.2,14.72,46.6,2014,September
2014-09,Bajra,Solapur,Kurdwadi,15.0,15.0,15.0,0.3,2014,September
2014-09,Bajra,Nasik,Lasalgaon,14.62,12.89,16.15,38.8,2014,September
2014-09,Bajra,Aurangabad,Lasur Station,13.38,11.61,14.74,532.9,2014,September
2014-09,Bajra,Latur,Latur,12.0,10.17,13.17,14.7,2014,September
2014-09,Bajra,Satara,Lonand,15.5,12.9,17.46,16.6,2014,September
2014-09,Bajra,Beed,Majalgaon,13.15,11.07,15.59,40.2,2014,September
2014-09,Bajra,Nasik,Malegaon,14.39,12.53,15.89,493.4,2014,September
2014-09,Bajra,Buldhana,Malkapur,15.0,15.0,15.0,0.1,2014,September
2014-09,Bajra,Solapur,Mangalwedha,13.28,13.23,13.62,1.2,2014,September
2014-09,Bajra,Nasik,Manmad,15.01,13.11,15.73,70.4,2014,September
2014-09,Bajra,Osmanabad,Murum,12.5,12.5,12.5,0.2,2014,September
2014-09,Bajra,Nasik,Nandgaon,14.81,12.34,16.1,140.2,2014,September
2014-09,Bajra,Nandurbar,Nandurbar,12.75,11.25,13.84,69.7,2014,September
2014-09,Bajra,Ahmadnagar,Newasa,13.1,12.98,13.25,3.7,2014,September
2014-09,Bajra,Beed,Parli-Vaijnath,14.53,13.91,14.53,3.0,2014,September
2014-09,Bajra,Ahmadnagar,Pathardi,13.19,12.54,14.29,44.3,2014,September
2014-09,Bajra,Satara,Phaltan,15.83,13.33,17.84,32.7,2014,September
2014-09,Bajra,Pune,Pune,19.32,18.15,20.53,50.1,2014,September
2014-09,Bajra,Ahmadnagar,Rahata,13.97,13.85,14.21,4.6,2014,September
2014-09,Bajra,Ahmadnagar,Rahuri,13.69,13.51,13.85,7.5,2014,September
2014-09,Bajra,Ahmadnagar,Rahuri-Vambori,14.82,12.62,16.11,43.4,2014,September
2014-09,Bajra,Jalgaon,Raver,15.75,15.75,15.75,0.1,2014,September
2014-09,Bajra,Dhule,Sakri,10.39,10.36,10.45,302.2,2014,September
2014-09,Bajra,Sangli,Sangali,15.57,13.21,17.93,242.2,2014,September
2014-09,Bajra,Ahmadnagar,Sangamner,14.69,13.5,16.13,20.0,2014,September
2014-09,Bajra,Nasik,Satana,14.21,12.74,15.15,72.3,2014,September
2014-09,Bajra,Nandurbar,Shahada,13.36,13.13,13.81,9.6,2014,September
2014-09,Bajra,Ahmadnagar,Shevgaon,12.17,10.68,12.68,91.8,2014,September
2014-09,Bajra,Ahmadnagar,Shevgaon-Bodhegaon,12.16,11.88,12.8,60.9,2014,September
2014-09,Bajra,Dhule,Shirpur,13.43,10.02,14.15,60.9,2014,September
2014-09,Bajra,Pune,Shirur,14.36,13.86,14.77,12.8,2014,September
2014-09,Bajra,Ahmadnagar,Shrirampur,14.47,13.4,15.2,29.8,2014,September
2014-09,Bajra,Nasik,Sinner,13.46,11.37,14.93,88.9,2014,September
