district,market_name,state
Pune,Pune,Maharashtra
Pune,Khed,Maharashtra
Pune,Manchar,Maharashtra
Pune,Baramati,Maharashtra
Pune,Junnar,Maharashtra
Pune,Indapur,Maharashtra
Nashik,Nashik,Maharashtra
Nashik,Lasalgaon,Maharashtra
Nashik,Pimpalgaon,Maharashtra
Nashik,Yeola,Maharashtra
Nashik,Malegaon,Maharashtra
Nashik,Kalwan,Maharashtra
Ahmednagar,Ahmednagar,Maharashtra
Ahmednagar,Rahuri,Maharashtra
Ahmednagar,Kopargaon,Maharashtra
Ahmednagar,Sangamner,Maharashtra
Nagpur,Nagpur,Maharashtra
Nagpur,Kalmeshwar,Maharashtra
Nagpur,Katol,Maharashtra
Jalgaon,Jalgaon,Maharashtra
Jalgaon,Bhusawal,Maharashtra
Jalgaon,Chopda,Maharashtra
Solapur,Solapur,Maharashtra
Solapur,Pandharpur,Maharashtra
Solapur,Barshi,Maharashtra
Satara,Satara,Maharashtra
Satara,Karad,Maharashtra
Satara,Phaltan,Maharashtra
Amravati,Amravati,Maharashtra
Amravati,Achalpur,Maharashtra
Kolhapur,Kolhapur,Maharashtra
Kolhapur,Gadhinglaj,Maharashtra
Aurangabad,Aurangabad,Maharashtra
Aurangabad,Lasur Station,Maharashtra
Sangli,Sangli,Maharashtra
Sangli,Tasgaon,Maharashtra
Latur,Latur,Maharashtra
Latur,Udgir,Maharashtra
Nanded,Nanded,Maharashtra
Nanded,Loha,Maharashtra
Dhule,Dhule,Maharashtra
Dhule,Dondaicha,Maharashtra
Thane,Kalyan,Maharashtra
Thane,Thane,Maharashtra
Mumbai,Mumbai,Maharashtra
